country_code,sentence,cluster_no
AE, a man in a white shirt and tie standing in a kitchen.,6
AE, a man in a suit and tie holding a black umbrella,6
AE, a man is standing on a bridge holding a surfboard.,6
AE, a person walking on a city street holding a surfboard.,6
AE, a black and white photo of a person in a suit,6
AE, a black and white photo of a person holding a skateboard,6
AE, a man in a suit and tie in a kitchen.,6
AE, a plate of food with a sandwich and a cup of coffee.,6
AE, a large cake with a knife and fork on it,6
AE, a table topped with plates of food and a cup of coffee.,6
AE, a banana and a knife on a table,6
AE, a bowl of vegetables and a knife on a cutting board,6
AE, a plate of food with a fork and knife,6
AE, a person holding a pair of scissors in the hand.,6
AE, a close up of a person holding a baseball bat,6
AE, a person holding a tennis racket on a tennis court.,6
AE, a man holding a stop sign in front of a building.,6
AE, a man riding a skateboard down a street.,6
AE, a white and black bird sitting on a table,6
AE, a man is sitting on a boat in the water.,6
AE, a man is on a surfboard in the water.,6
AE, a man is surfing on a wave in the ocean.,6
AE, a man in a red shirt holding a baseball bat,6
AE, a man in a suit and tie holding a baseball bat.,6
AE, a cell phone with a <unk> on it,6
AE, a car parked on the side of a road.,6
AE, a woman in a dress shirt and tie standing in a doorway.,6
AE, a woman in a dress shirt and tie standing in a doorway.,6
AE, a close up of a clock on a building,6
AE, a motorcycle is parked on the side of the road.,6
AE, a pair of scissors sitting on top of a wooden table.,6
AE, a close up of a motorcycle parked on a street,6
AE, a table topped with lots of different types of food.,6
AE, a clock with a clock on top of it,6
AE, a red and white clock on a pole,6
AE, a white plate topped with a cut in half sandwich.,6
AE, a man wearing a suit and tie holding a black umbrella.,6
AE, a white toilet with a black seat on top of it.,6
AE, a man standing in front of a mirror in a bathroom.,6
AE, a white and blue toothbrush in a blue sky,6
AE, a white and blue toothbrush is in a blue sky,6
AE, a man and a woman standing in a room.,6
AE, a man in a suit and tie standing in a room.,6
AE, a person holding a knife and cutting a cake,6
AE, a car driving down a road in the middle of a city.,6
AE, a stop sign with a street sign on it,6
AE, a woman in a black jacket holding a black and white dog,6
AE, a table topped with a bunch of bananas,6
AE, a man in a wetsuit surfing in the ocean.,6
AE, a man is walking in the water with a surfboard.,6
AE, a large boat is in the water near a beach.,6
AE, a table with a vase of flowers on it,6
AE, a garden with a plant growing in it,6
AE, a wooden bench sitting in front of a tree.,6
AE, a wooden table with a bunch of bananas on it,6
AE, a table with a vase of flowers on it,6
AE, a man and a woman are smiling while holding a teddy bear.,6
AE, a man riding a motorcycle with a dog.,6
AE, a man in a suit and tie standing in a room.,6
AE, a man is sitting on a bench reading a book.,6
AE, a large body of water with a sky background,6
AE, a pair of scissors and a pair of scissors,6
AE, a large boat is sailing on the water,6
AE, a man and a woman are standing in a room.,6
AE, a man and a woman are standing in a parking lot.,6
AE, a group of people standing in a field,6
AE, a man and a woman are standing in a field.,6
AE, a group of people standing around a small elephant.,6
AE, a man wearing a tie and a shirt and tie,6
AE, a woman is sitting at a table eating a sandwich.,6
AE, a plate of food with a fork and knife,6
AE, a plate of food with a sandwich and a cup of coffee.,6
AE, a plate of food with vegetables and rice.,6
AE, a plate of food with vegetables and meat.,6
AE, a person holding a plate of food on a table,6
AE, a person holding a doughnut in their hand.,6
AE, a group of people riding on the back of a boat.,6
AE, a woman holding a surfboard walking down the street,6
AE, a man and a woman are standing together.,6
AE, a black and white photo of a person holding a remote control,6
AE, a close up of a cake with a knife and fork,6
AE, a woman wearing a pink dress and a black tie,6
AE, a woman holding a nintendo wii game controller.,6
AE, a woman is brushing her teeth in the bathroom,6
AE, a person is holding a snowboard on a snowy surface,6
AE, a man holding a baseball bat in his hands.,6
AE, a man in a suit and tie standing in front of a building.,6
AE, a man in a suit and tie standing in front of a building.,6
AE, a group of people standing around a table with a cake on it,6
AE, a bowl of food that is on a table,6
AE, a plate of food with vegetables and meat.,6
AE, a red and white plane flying in the sky,6
AE, a young boy is playing a video game.,6
AE, a young boy holding a baseball bat in his hands.,6
AE, a young boy holding a baseball bat in his hands.,6
AE, a little boy holding a toothbrush in his mouth.,6
AE, a man wearing a tie and a hat.,6
AE, a collection of scissors and a pair of scissors,6
AE, a man is standing in front of a building.,6
AE, a man in a suit and tie standing in front of a building.,6
AE, a sign that is on a pole on a street.,6
AE, a person holding a pair of scissors in the air.,6
AE, a woman is cutting a cake with a knife.,6
AE, a woman is holding a glass of wine.,6
AE, a man riding a skateboard down a street.,6
AE, a man is walking down the street with a skateboard.,6
AE, a group of people standing around a table with a cake.,6
AE, a man in a suit and tie standing in a room.,6
AE, a plate of food with a fork and a fork,6
AE, a person holding a half eaten piece of pizza.,6
AE, a plate of food with a side of fries and a sandwich.,6
AE, a man is standing on a skateboard on a ramp.,6
AE, a bunch of doughnuts are sitting on a table,6
AE, a cup of coffee and a cup of coffee on a table,6
AE, a plate of food with a fork and knife,6
AE, a box of donuts that has been taken out of the box.,6
AE, a white plate topped with a sandwich and a cup of coffee.,6
AE, a man in a red shirt holding a tennis racquet.,6
AE, a person holding a cell phone in their hand.,6
AE, a man is playing a video game in a room.,6
AE, a man in a suit and tie in a room.,6
AE, a man in a suit and tie holding a cell phone,6
AE, a man and a woman are playing a video game.,6
AE, a man and a woman playing a video game,6
AE, a woman is holding a cell phone to her ear,6
AE, a person holding a pair of scissors in their hand.,6
AE, a man riding a skateboard down a ramp.,6
AE, a woman holding a glass of wine in her hand.,6
AE, a man in a wetsuit surfing on a wave,6
AE, a man and a woman are playing video games,6
AE, a man is walking in the water with a surfboard.,6
AE, a man is walking in the water with a surfboard.,6
AE, a man is standing on a beach holding a surfboard.,6
AE, a man riding a wave on a surfboard.,6
AE, a man is surfing on a wave in the ocean.,6
AE, a man and a woman are standing on a beach.,6
AE, a woman is sitting at a table with a laptop.,6
AE, a man and a woman are standing in a room.,6
AE, a man and a woman are standing in a room.,6
AE, a man and woman are standing in front of a building.,6
AE, a man and a woman are standing in a living room.,6
AE, a man in a suit and tie standing in a room.,6
AE, a woman in a dress holding a tennis racket.,6
AE, a woman in a dress holding a tennis racket.,6
AE, a table with a plate of food and a cup of coffee,6
AE, a man is standing in the snow holding a snowboard.,6
AE, a pair of scissors and a pair of scissors,6
AE, a man is riding a skateboard on a ramp.,6
AE, a man riding a skateboard down a ramp.,6
AE, a young boy brushing his teeth with a toothbrush.,6
AE, a man holding a cell phone to his ear.,6
AE, a man wearing a tie and a shirt and tie,6
AE, a man wearing a tie and a shirt and tie,6
AE, a young girl holding a toothbrush in her mouth.,6
AE, a woman wearing a tie and a dress shirt and tie,6
AE, a man is sitting on a bench in the park.,6
AE, a woman is holding a cell phone to her ear,6
AE, a woman is sitting on a bench in the rain.,6
AE, a woman is walking on the beach with a surfboard.,6
AE, a man standing on a balcony holding a kite.,6
AE, a woman holding a cell phone to her ear,6
AE, a man is standing in front of a building with a snowboard.,6
AE, a man riding a skateboard down a street.,6
AE, a group of people are walking on the beach.,6
AE, a woman is posing for a picture with her hands.,6
AE, a person is holding a snowboard in the snow.,6
AE, a man wearing a tie and a shirt and tie,6
AE, a man is holding a stuffed animal in his hand.,6
AE, a collection of antiques and a clock on a table,6
AE, a vase with a flower in it 's mouth.,6
AE, a large building with a large clock tower.,6
AE, a large group of boats are docked in a harbor.,6
AE, a large pool with a lot of people on it,6
AE, a blue and white striped sign with a green light,6
AE, a large boat is traveling down a river.,6
AE, a large clock tower with a clock on top of it.,6
AE, a close up of a person holding a snowboard,6
AE, a vase with a flower inside of it,6
AE, a table topped with lots of different types of donuts.,6
AE, a red and white truck is parked in a parking lot.,6
AE, a room with a lot of luggage bags,6
AE, a white truck is parked in a parking lot.,6
AE, a red truck is parked in a parking lot.,6
AE, a red car with a red car parked on the side,6
AE, a person holding a pair of scissors in a room.,6
AE, a vase with a flower on a table,6
AE, a young boy holding a toothbrush in his mouth.,6
AE, a young boy holding a toothbrush in his mouth.,6
AE, a young child holding a nintendo wii game controller.,6
AE, a young boy brushing his teeth with a toothbrush.,6
AE, a young boy holding a toothbrush in his mouth.,6
AE, a man is holding a baby in a room.,6
AE, a young boy playing a video game with a remote controller.,6
AE, a little boy holding a toothbrush in his mouth.,6
AE, a young boy holding a toothbrush in his mouth.,6
AE, a young boy holding a toothbrush in his mouth.,6
AE, a group of people standing around a large elephant statue.,6
AE, a vase with flowers on a table,6
AE, a vase with flowers in it sitting on a table,6
AE, a vase filled with lots of different colored flowers.,6
AE, a vase with flowers in it sitting on a table,6
AE, a bunch of bananas are on a table,6
AE, a bunch of bananas are stacked on top of each other,6
AE, a vase with a bunch of different colored flowers,6
AE, a vase with flowers in it sitting on a table,6
AE, a woman holding a pink tie with a pink shirt on her face,6
AE, a man holding a cell phone in his hand.,6
AE, a man is holding a stuffed animal in his hand.,6
AE, a man standing on a beach holding a kite.,6
AE, a group of people standing in the snow with skis on.,6
AE, a woman is standing in front of a building,6
AE, a woman walking down a sidewalk next to a parking meter.,6
AE, a woman walking down a street holding a tennis racquet.,6
AE, a woman in a red sweater holding a cell phone,6
AE, a woman walking down a sidewalk holding a tennis racquet.,6
AE, a woman holding a cell phone to her ear,6
AE, a woman holding a baby in a pink shirt.,6
AE, a woman holding a cell phone to her ear,6
AE, a woman holding a baby in a pink shirt.,6
AE, a woman standing in a parking lot holding a tennis racquet.,6
AE, a close up of a person holding a stuffed animal,6
AE, a man in a suit and tie in a room.,6
AE, a living room with a couch and a coffee table,6
AE, a white vase with a flower in it,6
AE, a large boat is traveling down a river.,6
AE, a vase with a flower in it on a table,6
AE, a cell phone with a charger on it,6
AE, a group of people standing around a ski slope.,6
AE, a group of people standing in a snow covered field.,6
AE, a man holding a cell phone in front of a sign.,6
AE, a pair of scissors and a pair of scissors.,6
AE, a large room with a lot of different things,6
AE, a parking meter with a sign on it,6
AE, a woman holding a baby in a park.,6
AE, a man sitting on a couch holding a laptop computer.,6
AE, a person is riding a wave on a surfboard.,6
AE, a bird flying over a beach on a sunny day,6
AE," a bathroom with a sink , toilet , mirror and shower curtain.",6
AE," a bathroom with a sink , toilet , and a bathtub.",6
AE, a bathroom with a toilet and a sink,6
AE, a man in a suit and tie standing in a room.,6
AE, a woman holding a cell phone to her ear,6
AE, a woman in a dress shirt and tie standing in a room.,6
AE, a pair of scissors with a hook on a bed,6
AE, a pair of scissors and a pair of scissors,6
AE, a pair of scissors sitting on top of a white paper.,6
AE, a group of ties hanging on a wall.,6
AE, a person holding a pair of scissors in the snow.,6
AE, a pair of scissors and a pair of scissors.,6
AE, a man and a woman are holding a cell phone.,6
AE, a skateboarder is doing a trick in the air.,6
AE, a person riding a skateboard down a street.,6
AE, a person is riding a skateboard down a ramp.,6
AE, a red fire hydrant sitting on the side of a road.,6
AE, a man and a woman are standing in a room.,6
AE, a man in a suit and tie standing in a parking lot.,6
AE, a man and a woman are standing next to a motorcycle.,6
AE, a group of people standing next to each other.,6
AE, a stuffed bear is sitting on a table,6
AE, a person holding a surfboard in their hand.,6
AE, a man riding a skateboard down a street.,6
AE, a bed room with a neatly made bed and a window,6
AE, a large sign that is on a pole,6
AE, a motorcycle is parked on the side of the road.,6
AE, a motorcycle is parked on the side of the road.,6
AE, a motorcycle parked on the side of a road.,6
AE, a motorcycle is parked on the side of the road.,6
AE, a motorcycle is parked on the side of the road.,6
AE, a large group of people are standing in a field.,6
AE, a large white airplane flying over a body of water,6
AE, a large boat is traveling down a river.,6
AE, a large building with a large clock tower on top of it.,6
AE, a large boat is docked at a pier,6
AE, a train is traveling down the tracks near a building.,6
AE, a white bird standing on a beach next to a body of water,6
AE, a group of people standing on a field playing frisbee,6
AE, a person holding a cell phone in their hand.,6
AE, a pair of shoes sitting on a bed.,6
AE, a man wearing a tie and a shirt and tie.,6
AE, a close up of a person holding a baseball bat,6
AE, a red stop sign sitting on the side of a road.,6
AE, a man is standing on a skateboard on the street,6
AE, a man and a woman are standing in a room.,6
AE, a young boy holding a baseball bat in his hand.,6
AE, a man is standing on a skateboard in a park.,6
AE, a man standing on a bridge holding a surfboard.,6
AE, a woman is walking down the street with an umbrella.,6
AE, a group of people walking down a sidewalk.,6
AE, a large metal clock on a pole on a cloudy day,6
AE, a car parked in front of a building,6
AE, a dog is looking out of a window.,6
AE, a man in a suit and tie standing in a room.,6
AE, a woman in a dress shirt and tie,6
AE, a woman holding a cell phone to her ear,6
AE, a woman holding a cell phone to her ear,6
AE, a group of people sitting on a bench near a river.,6
AE, a man in a kitchen with a refrigerator,6
AE, a kitchen with a table and a chair,6
AE, a man standing in a room with a large screen.,6
AE, a plate of food with a sandwich and a cup of coffee.,6
AE, a table topped with a plate of food and a cup of coffee.,6
AE, a plate with a sandwich and a cup of coffee.,6
AE, a plate with a sandwich and a cup of coffee.,6
AE, a man holding a knife and fork to eat a pizza.,6
AE, a white plate topped with a sandwich and a cup of coffee.,6
AE, a person holding a knife and some food,6
AE, a table topped with lots of different types of food.,6
AE, a person holding a laptop computer in front of a computer.,6
AE, a person holding a laptop computer in front of a computer.,6
AE, a person holding a cell phone in their hand.,6
AE, a man standing in front of a window with a cat on it.,6
AE, a young boy sitting on a bed with a toothbrush.,6
AE, a young boy is playing a video game.,6
AE, a person on a beach flying a kite,6
AE, a person is flying a kite on a beach.,6
AE, a large boat is sailing on a river.,6
AE, a woman in a dress is holding a black umbrella,6
AE, a man standing next to a woman holding a yellow umbrella.,6
AE, a man is walking in the water with a surfboard.,6
AE, a woman standing on a sidewalk holding a skateboard.,6
AE, a woman standing in the snow holding a cell phone,6
AE, a woman holding a surfboard in the water.,6
AE, a man and woman are walking on the beach.,6
AE, a woman is walking on the beach with a surfboard.,6
AE, a large boat is docked in a city,6
AE, a large airplane is sitting on a runway.,6
AE, a large building with a clock tower in the middle of it,6
AE, a large body of water with a bridge in the background,6
AE, a large body of water with a boat on it,6
AE, a group of boats sitting on top of a beach.,6
AE, a large building with a clock tower on top,6
AE, a man in a hat and tie is holding a cell phone.,6
AE, a man in a suit and tie standing in a room.,6
AE, a man in a suit and tie standing in a room.,6
AE, a woman walking down a street holding a tennis racquet.,6
AE, a woman is walking down the street with her umbrella,6
AE, a man is riding a skateboard on a ramp.,6
AE, a boat is traveling down a river in the sun.,6
AE, a man is standing on a beach holding a surfboard.,6
AE, a small brown dog wearing a red hat.,6
AE, a woman holding a cell phone to her ear,6
AE, a black and white photo of a black and white cat,6
AE, a woman sitting on a couch with a cat.,6
AE, a man is walking down the beach carrying a surfboard.,6
AE, a man in a suit and tie standing in a kitchen.,6
AE, a man is holding a wii remote in his hand.,6
AE, a glass of wine sitting on a table,6
AE, a river with a bridge spanning the width of it,6
AE, a large field with a large building in the background,6
AE, a person is flying a kite in a field,6
AE, a group of people flying kites in a field.,6
AE, a horse is standing in a field with a tree in the background,6
AE, a large field with a bunch of kites flying in the sky,6
AE, a large field with a large clock tower in the background,6
AE, a woman holding a cell phone to her ear,6
AE, a large flat screen tv sitting on top of a building.,6
AE, a train station with a train on it,6
AE, a pair of scissors and a tube of toothpaste,6
AE, a large building with a clock on the top of it,7
AE, a large building with a clock on the front of it,7
AE, a group of people standing around a table with a cake.,7
AE, a large white clock sitting on top of a building.,7
AE, a group of people standing in a room.,7
AE, a man holding a nintendo wii game controller.,7
AE, a table with a laptop and a chair,7
AE, a room with a lot of different things on it,7
AE, a table with a laptop and a chair,7
AE, a kitchen with a refrigerator and a sink,7
AE, a display of different types of different sizes.,7
AE, a refrigerator with a bunch of magnets on it,7
AE, a group of people standing in a room with a clock,7
AE, a man in a suit and tie standing in front of a building.,7
AE, a man in a suit and tie standing in a room.,7
AE, a large display of different types of sizes.,7
AE, a refrigerator with a bunch of books on it,7
AE, a table with a laptop and a cup of coffee,7
AE, a room with a television and a clock on the wall,7
AE, a room with a television and a clock,7
AE, a large screen television mounted on a wall.,7
AE, a woman standing next to a giraffe in a room.,7
AE, a man and a woman are standing together.,7
AE, a large crowd of people walking around a building.,7
AE, a group of people standing around a table.,7
AE, a man in a suit and tie standing in a room.,7
AE, a man standing next to a woman in a kitchen.,7
AE, a table topped with a plate of food and a cup of coffee.,7
AE, a close up of a person holding a cell phone,7
AE, a close up of a person holding a cell phone,7
AE, a group of people standing in a room.,7
AE, a man in a suit and tie holding a cell phone,7
AE, a group of people standing around a ski slope.,7
AE, a man is riding a skateboard on a street.,7
AE, a man standing in a kitchen next to a table,7
AE, a man riding a skateboard down a street.,7
AE, a white and black cat sitting on a bus,7
AE, a man walking down a street holding an umbrella.,7
